PIN,Major,Academic.Interest.1,Academic.Interest.2
N358113402280,PSYCHOLOGY,Psychology,Life Sciences
N359113425280,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",History
N360113414280,ARTS AND HUMANITIES,Arts & Humanities,Urban Studies
N361113413280,ENVIRONMENTAL STUDIES,History,Global Affairs
N362113412280,ANTHROPOLOGY,Literature,Psychology
N363113410280,URBAN STUDIES,Arts & Humanities,Economics
N365113405280,PHILOSOPHY,"Philosophy, Politics and Economics",Global Affairs
N366113401280,DDP LAW,Psychology,Anthropology
N367113402280,ECONOMICS,Economics,"Philosophy, Politics and Economics"
N368113425280,PSYCHOLOGY,Psychology,NA
N369113424280,ARTS AND HUMANITIES,Arts & Humanities,Psychology
N370113413280,HISTORY,History,Literature
N371113412280,ECONOMICS,"Mathematical, Computational and Statistical Sciences",NA
N372113410280,PHILOSOPHY,"Philosophy, Politics and Economics",History
N375113401280,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Philosophy, Politics and Economics",Global Affairs
N376113402280,URBAN STUDIES,Economics,NA
N377113425280,HISTORY,History,Anthropology
N378113424280,ENVIRONMENTAL STUDIES,Physical Sciences,NA
N381113410280,LITERATURE,Literature,Arts & Humanities
N383113405280,URBAN STUDIES,Global Affairs,NA
N384113401280,URBAN STUDIES,Urban Studies,Anthropology
N385113402280,ANTHROPOLOGY,Arts & Humanities,"Philosophy, Politics and Economics"
N386113425280,ENVIRONMENTAL STUDIES,Arts & Humanities,Environmental Studies
N387113424280,DDP LAW,Arts & Humanities,Economics
N305113412283,DDP LAW,Global Affairs,"Philosophy, Politics and Economics"
N306113410283,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,NA
N307113408283,LIFE SCIENCES,Life Sciences,NA
N308113405283,ECONOMICS,Economics,Arts & Humanities
N309113401283,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",NA
N310113421283,ANTHROPOLOGY,Global Affairs,"Philosophy, Politics and Economics"
N311113418283,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",NA
N313113413283,ARTS AND HUMANITIES,Literature,NA
N314113412283,ECONOMICS,"Mathematical, Computational and Statistical Sciences",NA
N315113410283,ENVIRONMENTAL STUDIES,"Philosophy, Politics and Economics",NA
N365113414288,HISTORY,Literature,Arts & Humanities
N366113413288,ARTS AND HUMANITIES,Arts & Humanities,Psychology
N367113412288,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Global Affairs,Psychology
N368113410288,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Psychology,Anthropology
N369113408288,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Psychology,"Mathematical, Computational and Statistical Sciences"
N371113423288,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,"Philosophy, Politics and Economics"
N372113421288,LIFE SCIENCES,Life Sciences,Undecided
N373113418288,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Global Affairs
N374113414288,GLOBAL AFFAIRS,Arts & Humanities,Literature
N375113413288,ENVIRONMENTAL STUDIES,Global Affairs,Anthropology
N376113412288,URBAN STUDIES,"Philosophy, Politics and Economics",NA
N377113410288,ANTHROPOLOGY,Undecided,Life Sciences
N378113408288,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,NA
N379113405288,PHYSICAL SCIENCES,Physical Sciences,NA
N380113423288,DDP LAW,Philosophy,"Philosophy, Politics and Economics"
N381113421288,ENVIRONMENTAL STUDIES,Environmental Studies,Psychology
N382113418288,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,"Philosophy, Politics and Economics"
N318113401292,LITERATURE,Literature,"Philosophy, Politics and Economics"
N359114412201,ENVIRONMENTAL STUDIES,Environmental Studies,NA
N360114402201,ARTS AND HUMANITIES,Psychology,Life Sciences
N361114425201,PHYSICAL SCIENCES,Environmental Studies,NA
N362114424201,PHYSICAL SCIENCES,Global Affairs,Environmental Studies
N363114423201,DDP LAW,Undecided,Undecided
N364114421201,ARTS AND HUMANITIES,Psychology,NA
N365114418201,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Life Sciences,Physical Sciences
N366114414201,ANTHROPOLOGY,Arts & Humanities,Psychology
N367114413201,URBAN STUDIES,Global Affairs,Arts & Humanities
N368114412201,"PHILOSOPHY, POLITICS AND ECONOMICS",Economics,Global Affairs
N369114410201,PHILOSOPHY,"Philosophy, Politics and Economics",Global Affairs
N370114425201,PSYCHOLOGY,Psychology,Arts & Humanities
N371114424201,PHYSICAL SCIENCES,Global Affairs,Literature
N372114423201,URBAN STUDIES,Undecided,NA
N373114421201,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",NA
N374114418201,ARTS AND HUMANITIES,Arts & Humanities,Global Affairs
N360114425211,URBAN STUDIES,"Philosophy, Politics and Economics",Literature
N361114424211,HISTORY,Global Affairs,"Philosophy, Politics and Economics"
N362114423211,ECONOMICS,Life Sciences,Psychology
N363114421211,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Arts & Humanities
N364114418211,ENVIRONMENTAL STUDIES,Environmental Studies,Urban Studies
N365114414211,ENVIRONMENTAL STUDIES,Physical Sciences,Philosophy
N366114413211,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Psychology,Environmental Studies
N367114412211,ANTHROPOLOGY,"Philosophy, Politics and Economics",Undecided
N368114410211,DDP LAW,"Philosophy, Politics and Economics",Arts & Humanities
N369114408211,DDP LAW,Psychology,"Philosophy, Politics and Economics"
N370114424211,ARTS AND HUMANITIES,Literature,NA
N371114423211,PSYCHOLOGY,Psychology,Undecided
N364114410233,ANTHROPOLOGY,Arts & Humanities,Life Sciences
N384114405233,URBAN STUDIES,"Philosophy, Politics and Economics",Urban Studies
N362114412234,PSYCHOLOGY,"Philosophy, Politics and Economics",Psychology
N302114402241,ENVIRONMENTAL STUDIES,Philosophy,Undecided
N336114408244,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",NA
N337114405244,ARTS AND HUMANITIES,Urban Studies,Arts & Humanities
N339114402244,LIFE SCIENCES,Life Sciences,NA
N340114418244,LIFE SCIENCES,Arts & Humanities,Literature
N341114414244,LITERATURE,Life Sciences,"Philosophy, Politics and Economics"
N342114413244,URBAN STUDIES,Global Affairs,"Philosophy, Politics and Economics"
N343114412244,ECONOMICS,"Mathematical, Computational and Statistical Sciences",Environmental Studies
N344114410244,ENVIRONMENTAL STUDIES,Global Affairs,Psychology
N345114408244,GLOBAL AFFAIRS,Psychology,NA
N346114405244,LITERATURE,Arts & Humanities,"Philosophy, Politics and Economics"
N348114402244,ANTHROPOLOGY,Life Sciences,Global Affairs
N350114414244,ARTS AND HUMANITIES,Anthropology,NA
N351114413244,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,NA
N352114412244,"PHILOSOPHY, POLITICS AND ECONOMICS",Anthropology,Global Affairs
N353114410244,PHILOSOPHY,Physical Sciences,Life Sciences
N354114408244,ECONOMICS,Economics,Arts & Humanities
N355114405244,URBAN STUDIES,Urban Studies,Environmental Studies
N357114402244,PSYCHOLOGY,Economics,Global Affairs
N358114425244,ECONOMICS,"Philosophy, Politics and Economics",NA
N359114424244,GLOBAL AFFAIRS,Arts & Humanities,Literature
N360114413244,GLOBAL AFFAIRS,Arts & Humanities,NA
N361114412244,LITERATURE,Literature,Economics
N362114410244,LIFE SCIENCES,Life Sciences,Economics
N363114408244,ENVIRONMENTAL STUDIES,Environmental Studies,History
N366114402244,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,NA
N367114425244,ENVIRONMENTAL STUDIES,Environmental Studies,NA
N368114424244,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",Global Affairs
N369114423244,ANTHROPOLOGY,"Philosophy, Politics and Economics",Economics
N338114423248,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,Economics
N339114421248,URBAN STUDIES,Economics,Psychology
N340114410248,GLOBAL AFFAIRS,Undecided,NA
N341114408248,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Anthropology,NA
N342114405248,ARTS AND HUMANITIES,Literature,Arts & Humanities
N343114401248,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",NA
N344114402248,ANTHROPOLOGY,Economics,Global Affairs
N345114425248,PHYSICAL SCIENCES,Physical Sciences,NA
N347114423248,PHYSICAL SCIENCES,Physical Sciences,NA
N348114421248,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,NA
N349114418248,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",NA
N351114405248,"PHILOSOPHY, POLITICS AND ECONOMICS",Economics,NA
N352114401248,ARTS AND HUMANITIES,Undecided,NA
N353114402248,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,NA
N354114425248,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",NA
N355114424248,ECONOMICS,"Mathematical, Computational and Statistical Sciences",NA
N357114421248,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Global Affairs,Environmental Studies
N358114418248,HISTORY,Undecided,NA
N359114414248,PSYCHOLOGY,Psychology,History
N360114405248,ECONOMICS,Economics,NA
N361114401248,ECONOMICS,Economics,Global Affairs
N338114405261,PSYCHOLOGY,Psychology,Life Sciences
N339114401261,URBAN STUDIES,Global Affairs,Urban Studies
N340114421261,"PHILOSOPHY, POLITICS AND ECONOMICS",Life Sciences,History
N397114413265,GLOBAL AFFAIRS,Global Affairs,Undecided
N398114412265,URBAN STUDIES,Urban Studies,Undecided
N329114423266,LITERATURE,Literature,Arts & Humanities
N377114424280,GLOBAL AFFAIRS,Literature,Arts & Humanities
N356110408273,PHYSICAL SCIENCES,Physical Sciences,Environmental Studies
N338113408261,"PHILOSOPHY, POLITICS AND ECONOMICS",Psychology,Global Affairs
N351113418261,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Anthropology,"Mathematical, Computational and Statistical Sciences"
N363114412242,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,Literature
N337115408224,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,"Mathematical, Computational and Statistical Sciences"
N338115405224,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",Global Affairs
N339115401224,PSYCHOLOGY,Arts & Humanities,Life Sciences
N340115421224,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",NA
N341115418224,PSYCHOLOGY,Psychology,Life Sciences
N342115414224,ANTHROPOLOGY,"Philosophy, Politics and Economics",Arts & Humanities
N343115413224,"PHILOSOPHY, POLITICS AND ECONOMICS",Literature,Physical Sciences
N344115412224,PSYCHOLOGY,Physical Sciences,"Philosophy, Politics and Economics"
N345115410224,GLOBAL AFFAIRS,Literature,"Philosophy, Politics and Economics"
N346115408224,URBAN STUDIES,Global Affairs,Anthropology
N347115405224,"PHILOSOPHY, POLITICS AND ECONOMICS",Arts & Humanities,Environmental Studies
N348115401224,ENVIRONMENTAL STUDIES,Economics,Physical Sciences
N349115402224,"PHILOSOPHY, POLITICS AND ECONOMICS",Economics,Literature
N350115418224,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Economics
N352115413224,PSYCHOLOGY,Global Affairs,Psychology
N353115412224,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Philosophy, Politics and Economics",Arts & Humanities
N354115410224,ENVIRONMENTAL STUDIES,"Philosophy, Politics and Economics",Economics
N355115408224,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Philosophy
N356115405224,LIFE SCIENCES,Physical Sciences,NA
N357115401224,PSYCHOLOGY,Life Sciences,Economics
N359115425224,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Economics
N360115414224,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Philosophy, Politics and Economics",Economics
N361115413224,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,NA
N362115412224,"PHILOSOPHY, POLITICS AND ECONOMICS",Anthropology,Psychology
N364115408224,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics"
N365115405224,ECONOMICS,Economics,Global Affairs
N366115401224,ARTS AND HUMANITIES,Arts & Humanities,NA
N367115402224,LITERATURE,"Philosophy, Politics and Economics",Global Affairs
N368115425224,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,Economics
N369115424224,PHYSICAL SCIENCES,Physical Sciences,Environmental Studies
N370115413224,ECONOMICS,Physical Sciences,"Mathematical, Computational and Statistical Sciences"
N371115412224,NA,Undecided,"Philosophy, Politics and Economics"
N372115410224,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Psychology
N373115408224,PHYSICAL SCIENCES,Physical Sciences,Arts & Humanities
N374115405224,"PHILOSOPHY, POLITICS AND ECONOMICS",Undecided,Undecided
N375115401224,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,Global Affairs
N376115402224,"PHILOSOPHY, POLITICS AND ECONOMICS",Anthropology,Urban Studies
N377115425224,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,Global Affairs
N378115424224,GLOBAL AFFAIRS,Global Affairs,"Philosophy, Politics and Economics"
N380115412224,ARTS AND HUMANITIES,Psychology,Arts & Humanities
N381115410224,"PHILOSOPHY, POLITICS AND ECONOMICS",Economics,Arts & Humanities
N382115408224,HISTORY,History,Physical Sciences
N383115405224,PSYCHOLOGY,Global Affairs,"Philosophy, Politics and Economics"
N384115401224,LITERATURE,Global Affairs,NA
N385115402224,HISTORY,Anthropology,Arts & Humanities
N388115423224,LIFE SCIENCES,Life Sciences,"Mathematical, Computational and Statistical Sciences"
