PIN,Academic.Interest.1,Academic.Interest.2
N330119410208,"Philosophy, Politics and Economics",Physical Sciences
N304119408208,Undecided,Psychology
N320119423212,Arts & Humanities,Undecided
N368119412209,Life Sciences,Undecided
N309119423209,Anthropology,Arts & Humanities
N379119410208,"Mathematical, Computational and Statistical Sciences","Mathematical, Computational and Statistical Sciences"
N318119423209,Anthropology,"Philosophy, Politics and Economics"
N386119414207,"Mathematical, Computational and Statistical Sciences",Life Sciences
N378119412208,Economics,Global Affairs
N371119424209,Psychology,Arts & Humanities
N372119425207,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences"
N394119418207,Literature,Psychology
N300119413209,Economics,"Philosophy, Politics and Economics"
N322119418212,"Philosophy, Politics and Economics",Anthropology
N353119424209,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics"
N315119401208,Literature,"Philosophy, Politics and Economics"
N321119405219,Physical Sciences,Physical Sciences
N351119402209,Psychology,"Mathematical, Computational and Statistical Sciences"
N375119421207,Economics,Anthropology
N382119423208,Literature,Psychology
N354119423209,Global Affairs,"Philosophy, Politics and Economics"
N329119418209,Psychology,Literature
N327119408212,Arts & Humanities,Economics
N330116410247,Physical Sciences,Physical Sciences
N363119424208,Literature,Anthropology
N387119413207,Arts & Humanities,Literature
N332119405208,"Philosophy, Politics and Economics",Global Affairs
N320119412208,Undecided,"Philosophy, Politics and Economics"
N374119423207,"Philosophy, Politics and Economics",Psychology
N301119413208,Physical Sciences,Environmental Studies
N375119414209,Environmental Studies,Life Sciences
N334119425209,Global Affairs,"Philosophy, Politics and Economics"
N349119413209,"Philosophy, Politics and Economics",Global Affairs
N316119425209,Anthropology,Arts & Humanities
N364119421209,"Philosophy, Politics and Economics",Global Affairs
N399119414221,"Philosophy, Politics and Economics",Economics
N395119414207,Arts & Humanities,Life Sciences
N319119421209,Global Affairs,"Philosophy, Politics and Economics"
N317119424209,History,Literature
N374119418209,Anthropology,Arts & Humanities
N364119423208,Arts & Humanities,"Philosophy, Politics and Economics"
N369119410209,Arts & Humanities,"Philosophy, Politics and Economics"
N330119421212,Arts & Humanities,Psychology
N343119402208,"Philosophy, Politics and Economics",Global Affairs
N357119418208,"Philosophy, Politics and Economics",Global Affairs
N341119405208,Global Affairs,"Philosophy, Politics and Economics"
N376119418216,"Philosophy, Politics and Economics",Global Affairs
N367119413209,"Philosophy, Politics and Economics",Philosophy
N397119412207,Life Sciences,Physical Sciences
N325119425209,Life Sciences,"Philosophy, Politics and Economics"
N321119408209,Environmental Studies,Economics
N390119424208,Psychology,Philosophy
N340119405209,Economics,Undecided
N393119421207,Psychology,Philosophy
N387119412208,Arts & Humanities,Anthropology
N326119425208,Economics,Life Sciences
N376119413209,Undecided,Psychology
N305119405208,Psychology,Arts & Humanities
N310119412209,Global Affairs,History
N370119402208,"Mathematical, Computational and Statistical Sciences",Physical Sciences
N360119402209,Undecided,Economics
N344119424209,Economics,Anthropology
N380119402216,"Philosophy, Politics and Economics",Arts & Humanities
N300119414208,Anthropology,Life Sciences
N320119408219,Literature,Literature
N331119408208,"Philosophy, Politics and Economics",Global Affairs
N391119423208,Literature,Arts & Humanities
N369119412208,Environmental Studies,"Philosophy, Politics and Economics"
N308119424209,Psychology,Economics
N311119412208,"Philosophy, Politics and Economics",Global Affairs
N381119425207,Psychology,Economics
N312119408209,Environmental Studies,"Philosophy, Politics and Economics"
N378119413207,"Philosophy, Politics and Economics",Economics
N319119423208,Life Sciences,Physical Sciences
N317119423219,Life Sciences,Arts & Humanities
N322119401219,Undecided,Physical Sciences
N372119423209,Anthropology,History
N379119412207,Undecided,Economics
N321119410208,"Mathematical, Computational and Statistical Sciences",Physical Sciences
N358119414208,Literature,Literature
N388119410208,Economics,"Philosophy, Politics and Economics"
N384119418208,Literature,"Philosophy, Politics and Economics"
N365119421208,Environmental Studies,Life Sciences
N393119418208,Undecided,Undecided
N389119408208,"Philosophy, Politics and Economics",Undecided
N352119425209,Life Sciences,Arts & Humanities
N310119413208,Environmental Studies,Global Affairs
N397119410208,Literature,Arts & Humanities
N376119418207,Physical Sciences,Undecided
N321118418223,Philosophy,Undecided
N367119414208,Urban Studies,Economics
N360119401208,Life Sciences,"Mathematical, Computational and Statistical Sciences"
N339119418208,Arts & Humanities,Undecided
N398119410207,"Philosophy, Politics and Economics",Undecided
N333119413212,"Philosophy, Politics and Economics",Undecided
N379119412216,Literature,Arts & Humanities
N365119418209,Arts & Humanities,Urban Studies
N362119425208,"Philosophy, Politics and Economics",Economics
N333119402209,Psychology,History
N303119408209,Anthropology,Urban Studies
N307119402208,Urban Studies,Environmental Studies
N340119408208,"Philosophy, Politics and Economics",Global Affairs
N360116405246,Environmental Studies,Anthropology
N377119412209,History,"Mathematical, Computational and Statistical Sciences"
N315119402209,"Philosophy, Politics and Economics",Literature
N306119401208,Psychology,Urban Studies
N377119414216,Literature,Life Sciences
N339119414209,"Philosophy, Politics and Economics",Urban Studies
N328119405212,"Philosophy, Politics and Economics",Global Affairs
N316119424219,Arts & Humanities,Undecided
N300119424222,"Philosophy, Politics and Economics",Global Affairs
N331119405209,Global Affairs,"Philosophy, Politics and Economics"
N353119425208,Urban Studies,Anthropology
N377119413208,Arts & Humanities,Physical Sciences
N332119401209,Philosophy,Literature
N359117405268,Arts & Humanities,Urban Studies
N323119401209,Undecided,Undecided
N346119421209,Arts & Humanities,Literature
N342119401208,"Mathematical, Computational and Statistical Sciences",Economics
N314119402219,Psychology,Arts & Humanities
N334119412212,"Mathematical, Computational and Statistical Sciences",Psychology
N306119402209,History,Global Affairs
N347119418209,Urban Studies,History
N380119425208,Economics,"Philosophy, Politics and Economics"
N329119401212,Environmental Studies,Economics
N337119421209,Life Sciences,
N313119405209,Psychology,Philosophy
N382119424207,"Philosophy, Politics and Economics",Global Affairs
N391118421237,Global Affairs,"Philosophy, Politics and Economics"
N379119408209,Undecided,Undecided
N336119424208,"Philosophy, Politics and Economics",Anthropology
N342119402209,Global Affairs,History
N384119421207,Arts & Humanities,Literature
N329119421208,Psychology,Global Affairs
N394119414208,"Philosophy, Politics and Economics",Economics
N320119425201,"Philosophy, Politics and Economics",Psychology
N326119424209,Philosophy,Psychology
