Major,PIN
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N390120425296
PSYCHOLOGY,N302120413278
DDP LAW,N384120424276
DDP LAW,N381120401276
"PHILOSOPHY, POLITICS AND ECONOMICS",N335120401277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N367120412241
GLOBAL AFFAIRS,N316120401278
GLOBAL AFFAIRS,N304120408297
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N318120424297
ENVIRONMENTAL STUDIES,N356120424277
GLOBAL AFFAIRS,N346120424296
PSYCHOLOGY,N370120408276
GLOBAL AFFAIRS,N328115405225
HISTORY,N315120408277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N383120423296
LITERATURE,N377120421276
"PHILOSOPHY, POLITICS AND ECONOMICS",N362120421251
DDP LAW,N368120418277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N357120423277
PHYSICAL SCIENCES,N382120425277
ECONOMICS,N384120423277
"PHILOSOPHY, POLITICS AND ECONOMICS",N384120424258
PHYSICAL SCIENCES,N350120408296
PSYCHOLOGY,N388117405293
"PHILOSOPHY, POLITICS AND ECONOMICS",N325120405277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N354120402277
ECONOMICS,N366120421296
PHYSICAL SCIENCES,N351120405296
PSYCHOLOGY,N398120413276
ENVIRONMENTAL STUDIES,N375120423277
ENVIRONMENTAL STUDIES,N326120425297
GLOBAL AFFAIRS,N308120402278
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N309120402277
ANTHROPOLOGY,N390120401276
HISTORY,N395120418277
DDP LAW,N358120418296
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N393120424276
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N337120423297
LIFE SCIENCES,N342120408277
PSYCHOLOGY,N320120414277
"PHILOSOPHY, POLITICS AND ECONOMICS",N363120425296
ENVIRONMENTAL STUDIES,N366120423277
PSYCHOLOGY,N393120423277
LIFE SCIENCES,N390120402277
HISTORY,N330120410297
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N386120414296
PSYCHOLOGY,N383120424277
ECONOMICS,N344120401277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N383120425276
yet to declare,N331120412277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N385120423276
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N335120425297
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N377120414296
GLOBAL AFFAIRS,N373120421213
PSYCHOLOGY,N329120421297
LITERATURE,N371120401277
URBAN STUDIES,N359120414296
URBAN STUDIES,N355120424296
GLOBAL AFFAIRS,N338120424277
LITERATURE,N389120410296
PSYCHOLOGY,N301120414278
ECONOMICS,N345120402277
ANTHROPOLOGY,N348120421296
ECONOMICS,N312120412278
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N380120402296
LITERATURE,N365120423296
PHILOSOPHY,N380120401277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N304120410278
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N312120413277
"PHILOSOPHY, POLITICS AND ECONOMICS",N303120412278
DDP LAW,N397120412296
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N354120425296
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N382120402276
PSYCHOLOGY,N341120410277
"PHILOSOPHY, POLITICS AND ECONOMICS",N386120421258
URBAN STUDIES,N301120413297
PSYCHOLOGY,N322120408297
ECONOMICS,N311120412297
URBAN STUDIES,N371120405276
PHILOSOPHY,N396120413296
ENVIRONMENTAL STUDIES,N340120412277
"PHILOSOPHY, POLITICS AND ECONOMICS",N337120425277
ARTS AND HUMANITIES,N325120402297
yet to declare,N319120423297
DDP LAW,N396120418276
GLOBAL AFFAIRS,N379120414276
ENVIRONMENTAL STUDIES,N376120423276
ENVIRONMENTAL STUDIES,N399120408296
yet to declare,N328120425277
ECONOMICS,N355120425277
ARTS AND HUMANITIES,N330120413277
