"PIN","Admit.Year","Academic.Interest.1","Academic.Interest.2","Major","Real.Grade.Numeric.Literature and Humanities 1","Real.Grade.Numeric.Literature and Humanities 2","Real.Grade.Numeric.Philosophy and  Political Thought 1","Real.Grade.Numeric.Philosophy and  Political Thought 2","Real.Grade.Numeric.Comparative Social Inquiry","Real.Grade.Numeric.Modern Social Thought","Real.Grade.Numeric.Quantitative Reasoning","Real.Grade.Numeric.Science"
"N385112421249",2014,"Life Sciences","Anthropology","HISTORY",0,4.5,0,4.5,0,4.5,4,2.66666666666667
"N329113405226",2014,"History","Literature","HISTORY",0,4,0,4,0,4.5,4,3.33333333333333
"N388112421255",2014,"Global Affairs","History","HISTORY",0,4.5,0,4.5,0,5,6,3.16666666666667
"N338112418279",2014,"Anthropology","Undecided","ANTHROPOLOGY",0,4.5,0,5,0,5,4,2.66666666666667
"N378113408221",2014,"Urban Studies","Philosophy, Politics and Economics","GLOBAL AFFAIRS",0,4.5,0,5,0,5,4.5,3
"N321113423226",2014,"Anthropology","Arts & Humanities","ANTHROPOLOGY",0,5,0,4.5,0,4,4,2
"N326113412226",2014,"Psychology","Philosophy","ARTS AND HUMANITIES",0,2.5,0,4,0,1,3,1.25
"N351112402279",2014,"Economics","Global Affairs","GLOBAL AFFAIRS",0,4,0,3.5,0,4.5,4,3.16666666666667
"N386112413278",2014,"Psychology","Undecided","PSYCHOLOGY",0,5,0,4,0,4.5,4.5,2.83333333333333
"N333112414236",2014,"Philosophy, Politics and Economics","Global Affairs","GLOBAL AFFAIRS",0,4.5,0,4.5,0,4.5,3,2.83333333333333
"N374112421278",2014,"Life Sciences","Physical Sciences","PHYSICAL SCIENCES",0,5,0,5,0,5,5,4.25
"N392112421278",2014,"Psychology","Arts & Humanities","PSYCHOLOGY",0,4.5,0,3,0,2.5,3.5,2.83333333333333
"N326112424279",2014,"Philosophy, Politics and Economics","Global Affairs","GLOBAL AFFAIRS",0,5,0,5,0,5,4,3.33333333333333
"N323113418226",2014,"Economics","Philosophy, Politics and Economics","URBAN STUDIES",0,4.5,0,5.5,0,5.5,5,3.5
"N325112425279",2014,"Life Sciences","Environmental Studies","ENVIRONMENTAL STUDIES",0,4.5,0,2.5,0,4,3.5,2.83333333333333
"N370112412264",2014,"History","Global Affairs","LITERATURE",0,5.5,0,4,0,4,2.5,2.5
"N311112410279",2014,"Psychology","Physical Sciences","PSYCHOLOGY",0,4,0,4,0,4,4.5,3.33333333333333
"N370112402278",2014,"Psychology","Economics","PSYCHOLOGY",0,4.5,0,4,0,4.5,4.5,3.33333333333333
"N337110408274",2014,"Philosophy, Politics and Economics","Economics","PSYCHOLOGY",0,4.5,0,5,0,4.5,5.5,3.5
"N352112425279",2014,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics","DDP LAW",0,4.5,0,4.5,0,5,4.5,2.5
"N308110412274",2014,"Philosophy, Politics and Economics","Psychology","LIFE SCIENCES",0,5,0,5,0,4.5,5,3.16666666666667
"N399112405278",2014,"Anthropology","Environmental Studies","URBAN STUDIES",0,4.5,0,4,0,3,3.5,2.5
"N379113405221",2014,"Global Affairs","Literature","LITERATURE",0,4.5,0,5,0,5,3,2.33333333333333
"N316113413226",2014,"Arts & Humanities","Psychology","ARTS AND HUMANITIES",0,4.5,0,4.5,0,4.5,4,2.66666666666667
"N366112418278",2014,"Psychology","Philosophy, Politics and Economics","DDP Law + Major",0,4,0,4.5,0,4.5,4,3
"N324112402279",2014,"Philosophy, Politics and Economics","Literature","ECONOMICS",0,3.5,0,4.5,0,4.5,4,3.16666666666667
"N323112401279",2014,"Philosophy","Philosophy, Politics and Economics","PSYCHOLOGY",0,4.5,0,2.5,0,3,4.5,2.33333333333333
"N310112412279",2014,"Life Sciences","Arts & Humanities","PHILOSOPHY, POLITICS AND ECONOMICS",0,5.5,0,4.5,0,4.5,4,3.125
"N332113424241",2014,"Arts & Humanities","Philosophy, Politics and Economics","ANTHROPOLOGY",0,5,0,3.5,0,4,3.5,2.66666666666667
"N356112418279",2014,"Global Affairs","Philosophy, Politics and Economics","GLOBAL AFFAIRS",0,4.5,0,5,0,4,4.5,3.16666666666667
"N302112410279",2014,"Philosophy, Politics and Economics","Global Affairs","GLOBAL AFFAIRS",0,4.5,0,4,0,4.5,3.5,2.5
"N331113421226",2014,"Life Sciences","Physical Sciences","LIFE SCIENCES",0,5.5,0,4.5,0,4,4,2.625
"N328113408226",2014,"Urban Studies","Philosophy, Politics and Economics","DDP LAW",0,5.5,0,5,0,5,4.5,2.66666666666667
"N397112410278",2014,"Undecided","Undecided","ANTHROPOLOGY",0,4.5,0,5,0,5,5,3.16666666666667
"N304112405279",2014,"Arts & Humanities","Literature","ARTS AND HUMANITIES",0,5,0,3.5,0,4.5,4.5,2
"N303112408279",2014,"Global Affairs","Philosophy, Politics and Economics","DDP Law + Major",0,4.5,0,4,0,5,5.5,3.16666666666667
"N384112412241",2014,"Economics","Philosophy, Politics and Economics","DDP LAW",0,3.5,0,5,0,4.5,5,3.33333333333333
"N398113418236",2014,"Philosophy, Politics and Economics","Global Affairs","ANTHROPOLOGY",0,4.5,0,4.5,0,5,4,3
"N309112423279",2014,"Undecided","Undecided","PHILOSOPHY, POLITICS AND ECONOMICS",0,5.5,0,5.5,0,5.5,3,3
"N317113412226",2014,"Economics","Philosophy, Politics and Economics","URBAN STUDIES",0,4,0,4.5,0,4.5,4.5,3.33333333333333
"N331112421236",2014,"Mathematical, Computational and Statistical Sciences","Economics","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",0,4.5,0,2.5,0,4,4.5,4.125
"N307112425279",2014,"Arts & Humanities","Global Affairs","DDP LAW",0,4.5,0,4.5,0,4.5,5,3.16666666666667
"N327113410226",2014,"Literature","Arts & Humanities","LITERATURE",0,4.5,0,5,0,4.5,4,3.16666666666667
"N318113410226",2014,"Economics","Global Affairs","ECONOMICS",0,4.5,0,3.5,0,4.5,4.5,2.83333333333333
"N380112425278",2014,"Arts & Humanities","Global Affairs","PHILOSOPHY, POLITICS AND ECONOMICS",0,4,0,2.5,0,3.5,4,2.5
"N383112421278",2014,"Psychology","Undecided","PHILOSOPHY, POLITICS AND ECONOMICS",0,5,0,5,0,5,4.5,3
"N317112424279",2014,"Economics","Mathematical, Computational and Statistical Sciences","ECONOMICS",0,4,0,4,0,4.5,5,2.83333333333333
"N392113402219",2014,"Arts & Humanities","Philosophy, Politics and Economics","HISTORY",0,4.5,0,5,0,5,3,3.16666666666667
"N340112405279",2014,"Arts & Humanities","Anthropology","URBAN STUDIES",0,4.5,0,4,0,3.5,3.5,2.66666666666667
"N321112408279",2014,"Global Affairs","Urban Studies","URBAN STUDIES",0,5.5,0,4,0,4.5,3.5,2.66666666666667
"N309113410226",2014,"Global Affairs","History","PHILOSOPHY, POLITICS AND ECONOMICS",0,4.5,0,4,0,4,5,3
"N344112424279",2014,"Philosophy, Politics and Economics","Global Affairs","PHILOSOPHY, POLITICS AND ECONOMICS",0,5,0,5,0,4.5,4,2.83333333333333
"N364112423278",2014,"Global Affairs","Literature","LITERATURE",0,5,0,4.5,0,4.5,4,3
"N311113424226",2014,"Psychology","Philosophy, Politics and Economics","ARTS AND HUMANITIES",0,4,0,4.5,0,5,4,2.83333333333333
"N330112423236",2014,"Life Sciences","Literature","PHILOSOPHY, POLITICS AND ECONOMICS",0,5.5,0,4.5,0,5,4.5,3.33333333333333
"N355112421279",2014,"Global Affairs","Psychology","ANTHROPOLOGY",0,4,0,4,0,4,3.5,2.5
"N330112408279",2014,"Undecided","Undecided","LIFE SCIENCES",0,4.5,0,4.5,0,4,4,3.375
"N313112405279",2014,"Economics","History","ECONOMICS",0,4.5,0,4,0,4,4.5,3
"N325113408238",2014,"Psychology","Economics","ANTHROPOLOGY",0,4,0,4,0,3.5,3.5,2.33333333333333
"N329112418279",2014,"History","Arts & Humanities","PHILOSOPHY",0,5.5,0,5.5,0,5,4.5,3.33333333333333
"N397110424273",2014,"Undecided","Philosophy","PHILOSOPHY",0,4,0,4,0,4.5,4.5,2.83333333333333
"N398112408278",2014,"Global Affairs","Literature","ANTHROPOLOGY",0,4.5,0,4.5,0,4.5,3.5,3.16666666666667
"N315112402279",2014,"Philosophy, Politics and Economics","Economics","PHILOSOPHY, POLITICS AND ECONOMICS",0,4.5,0,4,0,4.5,3.5,3
"N373112423278",2014,"Literature","Anthropology","PHILOSOPHY, POLITICS AND ECONOMICS",0,5,0,5,0,4.5,5,3.5
"N396113421219",2014,"Literature","Arts & Humanities","PHILOSOPHY, POLITICS AND ECONOMICS",0,5.5,0,5,0,5.5,4.5,3.16666666666667
"N384112418278",2014,"Philosophy, Politics and Economics","Literature","DDP LAW",0,5.5,0,5.5,0,4.5,5,3.5
"N347112418279",2014,"Psychology","Philosophy","PSYCHOLOGY",0,4.5,0,3.5,0,4,3,2.83333333333333
"N358112414278",2014,"Psychology","Anthropology","ARTS AND HUMANITIES",0,5,0,4.5,0,4.5,3.5,3
"N332112401279",2014,"Environmental Studies","Urban Studies","ENVIRONMENTAL STUDIES",0,5,0,4.5,0,5,5,3.33333333333333
"N331112405279",2014,"Anthropology","History","PSYCHOLOGY",0,4.5,0,5,0,4.5,4,3.33333333333333
"N378112412278",2014,"Psychology","Life Sciences","ENVIRONMENTAL STUDIES",0,5,0,5.5,0,5,4.5,3
"N389112408278",2014,"Undecided","Undecided","DDP Law",0,4,0,4.5,0,3.5,5.5,2.33333333333333
"N306112402279",2014,"Anthropology","History","PSYCHOLOGY",0,4,0,4.5,0,4.5,5,2.83333333333333
"N332112418236",2014,"Physical Sciences","Literature","PHYSICAL SCIENCES",0,3.5,0,4.5,0,4.5,4.5,3.5
"N303108421205",2014,"Global Affairs","Psychology","DDP LAW",0,4.5,0,5,0,5.5,4.5,3.16666666666667
"N354112423279",2014,"Economics","Philosophy","ECONOMICS",0,4,0,4.5,0,5,6,3.16666666666667
"N381112413252",2014,"Literature","Arts & Humanities","DDP Law + Major",0,4.5,0,5,0,5.5,5.5,3.16666666666667
"N395113423219",2014,"Arts & Humanities","Life Sciences","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",0,4.5,0,4,0,4.5,4.5,3
"N314112401279",2014,"Philosophy, Politics and Economics","Anthropology","PHILOSOPHY",0,4,0,4,0,4.5,4.5,3.25
"N320112401251",2014,"Arts & Humanities","Philosophy","ANTHROPOLOGY",0,3,0,3.5,0,4.5,5,3
"N361114424211",2015,"Global Affairs","Philosophy, Politics and Economics","HISTORY",0,4,0,4.5,0,4,2.5,1.5
"N359114414248",2015,"Psychology","History","PSYCHOLOGY",0,5,0,5,0,5,4.5,2.25
"N385113402280",2015,"Arts & Humanities","Philosophy, Politics and Economics","ANTHROPOLOGY",0,4,0,5,0,5,4,2
"N368114412201",2015,"Economics","Global Affairs","PHILOSOPHY, POLITICS AND ECONOMICS",0,3.5,0,4,0,4.5,2.5,2
"N342114413244",2015,"Global Affairs","Philosophy, Politics and Economics","URBAN STUDIES",0,3.5,0,4,0,4.5,4.5,2.25
"N312112410220",2015,"Life Sciences","Psychology","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",0,4.5,0,5.5,0,4,5.5,2
"N358113402280",2015,"Psychology","Life Sciences","PSYCHOLOGY",0,3.5,0,3.5,0,5.5,4,2.75
"N357114402244",2015,"Economics","Global Affairs","PSYCHOLOGY",0,4.5,0,4,0,5,4.5,2.25
"N371113423288",2015,"Global Affairs","Philosophy, Politics and Economics","PHILOSOPHY, POLITICS AND ECONOMICS",0,5,0,5.5,0,4.5,4.5,2.5
"N366114413211",2015,"Psychology","Environmental Studies","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",0,4.5,0,3.5,0,4.5,5.5,2.5
"N325113413280",2015,"History","Arts & Humanities","HISTORY",0,3.5,0,5,0,5,4.5,2.25
"N354114408244",2015,"Economics","Arts & Humanities","ECONOMICS",0,4.5,0,4.5,0,4.5,4,2
"N397114413265",2015,"Global Affairs","Undecided","GLOBAL AFFAIRS",0,4,0,5,0,5,4.5,2.5
"N368114424244",2015,"Philosophy, Politics and Economics","Global Affairs","GLOBAL AFFAIRS",0,5,0,5,0,4.5,3.5,2
"N380113423288",2015,"Philosophy","Philosophy, Politics and Economics","DDP LAW",0,5,0,5,0,4.5,5,2
"N337113408280",2015,"Psychology","Environmental Studies","PSYCHOLOGY",0,4.5,0,4.5,0,4.5,4.5,2.25
"N381113410280",2015,"Literature","Arts & Humanities","LITERATURE",0,4.5,0,5,0,5,4,2
"N332113418280",2015,"Global Affairs","Philosophy, Politics and Economics","HISTORY",0,4.5,0,4,0,5,4.5,2.5
"N364114418211",2015,"Environmental Studies","Urban Studies","ENVIRONMENTAL STUDIES",0,4.5,0,4.5,0,5,5,2
"N334113413280",2015,"Economics","Literature","URBAN STUDIES",0,4.5,0,4.5,0,4.5,4.5,2
"N367113402280",2015,"Economics","Philosophy, Politics and Economics","ECONOMICS",0,4.5,0,5,0,4.5,5.5,2.5
"N398114412265",2015,"Urban Studies","Undecided","URBAN STUDIES",0,5,0,5.5,0,5.5,5.5,2.25
"N352113413280",2015,"Life Sciences","Anthropology","ECONOMICS",0,4,0,5,0,5,5,2.75
"N352114412244",2015,"Anthropology","Global Affairs","PHILOSOPHY, POLITICS AND ECONOMICS",0,5,0,4.5,0,5,4.5,2.25
"N377113410288",2015,"Undecided","Life Sciences","ANTHROPOLOGY",0,4.5,0,4.5,0,4.5,4.5,2.75
"N375113401280",2015,"Philosophy, Politics and Economics","Global Affairs","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",0,4.5,0,4,0,4.5,4.5,2.5
"N384113401280",2015,"Urban Studies","Anthropology","URBAN STUDIES",0,4.5,0,4.5,0,4.5,4,2.25
"N329113405280",2015,"History","Arts & Humanities","HISTORY",0,4.5,0,4.5,0,5.5,3.5,2
"N368114410211",2015,"Philosophy, Politics and Economics","Arts & Humanities","DDP LAW",0,5,0,5,0,5.5,4.5,2.5
"N373113418288",2015,"Philosophy, Politics and Economics","Global Affairs","PHILOSOPHY, POLITICS AND ECONOMICS",0,5,0,5.5,0,5,4.5,2
"N386113425280",2015,"Arts & Humanities","Environmental Studies","ENVIRONMENTAL STUDIES",0,5,0,5,0,5.5,4.5,2.25
"N362114410244",2015,"Life Sciences","Economics","LIFE SCIENCES",0,4,0,4.5,0,4.5,4,2.25
"N372113421288",2015,"Life Sciences","Undecided","LIFE SCIENCES",0,5,0,4,0,4.5,4,2.75
"N384114405233",2015,"Philosophy, Politics and Economics","Urban Studies","URBAN STUDIES",0,4.5,0,5,0,4.5,5.5,2.5
"N344114410244",2015,"Global Affairs","Psychology","ENVIRONMENTAL STUDIES",0,5.5,0,5.5,0,5.5,4.5,2.75
"N369114423244",2015,"Philosophy, Politics and Economics","Economics","ANTHROPOLOGY",0,4.5,0,4,0,5.5,4,2.25
"N350113418280",2015,"Global Affairs","Philosophy, Politics and Economics","DDP LAW",0,4.5,0,5,0,4.5,4.5,2.25
"N370114425201",2015,"Psychology","Arts & Humanities","PSYCHOLOGY",0,4.5,0,5,0,4.5,5.5,2.25
"N369114408211",2015,"Psychology","Philosophy, Politics and Economics","DDP LAW",0,4,0,4.5,0,4.5,4,2.25
"N342114405248",2015,"Literature","Arts & Humanities","ARTS AND HUMANITIES",0,4,0,3.5,0,5,4.5,2.25
"N340114421261",2015,"Life Sciences","History","PHILOSOPHY, POLITICS AND ECONOMICS",0,4.5,0,5,0,5.5,5.5,2.25
"N328113408280",2015,"Philosophy","Psychology","ARTS AND HUMANITIES",0,4,0,3.5,0,4.5,4,2
"N362114424201",2015,"Global Affairs","Environmental Studies","PHYSICAL SCIENCES",0,4.5,0,4,0,4,3.5,2.5
"N372113410280",2015,"Philosophy, Politics and Economics","History","PHILOSOPHY",0,5,0,4.5,0,5,4,2
"N347113405280",2015,"Economics","Global Affairs","PHILOSOPHY, POLITICS AND ECONOMICS",0,5,0,5,0,5,4.5,2.5
"N371114423211",2015,"Psychology","Undecided","PSYCHOLOGY",0,5,0,4.5,0,4.5,5.5,2.5
"N369113408288",2015,"Psychology","Mathematical, Computational and Statistical Sciences","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",0,5,0,5,0,5,5.5,2.5
"N368113410288",2015,"Psychology","Anthropology","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",0,4.5,0,5,0,5,4.5,2.5
"N371114424201",2015,"Global Affairs","Literature","PHYSICAL SCIENCES",0,5,0,3.5,0,4,3,2.25
"N355113408280",2015,"Life Sciences","Anthropology","PSYCHOLOGY",0,3.5,0,4,0,5,3.5,2.25
"N366113413288",2015,"Arts & Humanities","Psychology","ARTS AND HUMANITIES",0,5,0,4.5,0,5,3.5,2.25
"N348113401280",2015,"Economics","Philosophy, Politics and Economics","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",0,4,0,4.5,0,4.5,4,2.5
"N369113424280",2015,"Arts & Humanities","Psychology","ARTS AND HUMANITIES",0,4.5,0,3.5,0,4,3,2.5
"N366114414201",2015,"Arts & Humanities","Psychology","ANTHROPOLOGY",0,4,0,4,0,4.5,3,1.75
"N382113418288",2015,"Global Affairs","Philosophy, Politics and Economics","PHILOSOPHY, POLITICS AND ECONOMICS",0,5,0,5,0,4.5,4,2.25
"N331109413242",2015,"History","Philosophy, Politics and Economics","HISTORY",0,5,0,5.5,0,5,4.5,2.25
"N360114425211",2015,"Philosophy, Politics and Economics","Literature","URBAN STUDIES",0,3.5,0,4,0,4,4,2.5
"N340114418244",2015,"Arts & Humanities","Literature","LIFE SCIENCES",0,5,0,5,0,5.5,4.5,2.5
"N363114408244",2015,"Environmental Studies","History","ENVIRONMENTAL STUDIES",0,4,0,4,0,5,4.5,2.25
"N365113405280",2015,"Philosophy, Politics and Economics","Global Affairs","PHILOSOPHY",0,5,0,5.5,0,4.5,4.5,2
"N360114402201",2015,"Psychology","Life Sciences","ARTS AND HUMANITIES",0,3,0,4,0,4.5,3.5,2
"N367114412211",2015,"Philosophy, Politics and Economics","Undecided","ANTHROPOLOGY",0,4,0,3.5,0,4,4,2
"N327113410280",2015,"Life Sciences","Philosophy, Politics and Economics","ANTHROPOLOGY",0,5.5,0,4.5,0,4.5,4.5,2.5
"N353113412280",2015,"Philosophy","Literature","URBAN STUDIES",0,4,0,3.5,0,4.5,4,2.25
"N336113410280",2015,"Philosophy, Politics and Economics","Economics","DDP LAW",0,5,0,4.5,0,4.5,4,2.25
"N360113414280",2015,"Arts & Humanities","Urban Studies","ARTS AND HUMANITIES",0,4,0,4,0,5,4.5,2.25
"N359114424244",2015,"Arts & Humanities","Literature","GLOBAL AFFAIRS",0,4.5,0,4.5,0,5,4,2.5
"N367114413201",2015,"Global Affairs","Arts & Humanities","URBAN STUDIES",0,5.5,0,4.5,0,5.5,5,2.75
"N362113412280",2015,"Literature","Psychology","ANTHROPOLOGY",0,4.5,0,5,0,4.5,5,2
"N341114414244",2015,"Life Sciences","Philosophy, Politics and Economics","LITERATURE",0,4.5,0,4.5,0,5,4.5,2.75
"N344113412280",2015,"Philosophy, Politics and Economics","Arts & Humanities","HISTORY",0,4.5,0,4,0,5.5,3.5,2.25
"N375113413288",2015,"Global Affairs","Anthropology","ENVIRONMENTAL STUDIES",0,5,0,4,0,4,4,2
"N339114421248",2015,"Economics","Psychology","URBAN STUDIES",0,4.5,0,4,0,4.5,5.5,2.25
"N329114423266",2015,"Literature","Arts & Humanities","LITERATURE",0,5.5,0,5,0,5,5.5,2.25
"N308113405283",2015,"Economics","Arts & Humanities","ECONOMICS",0,4.5,0,4.5,0,5,4.5,2.75
"N374113414288",2015,"Arts & Humanities","Literature","GLOBAL AFFAIRS",0,4.5,0,5,0,5,5.5,2.5
"N361113413280",2015,"History","Global Affairs","ENVIRONMENTAL STUDIES",0,5.5,0,4.5,0,4.5,3.5,2
"N349113402280",2015,"Global Affairs","Philosophy, Politics and Economics","ECONOMICS",0,4.5,0,5,0,4.5,5.5,2.5
"N338114405261",2015,"Psychology","Life Sciences","PSYCHOLOGY",0,4.5,0,5,0,4,4.5,1.75
"N366113401280",2015,"Psychology","Anthropology","DDP LAW",0,5,0,5,0,5,5,2.75
"N331113421280",2015,"Global Affairs","Undecided","URBAN STUDIES",0,4,0,4.5,0,5,5,2.5
"N365113414288",2015,"Literature","Arts & Humanities","HISTORY",0,5.5,0,5,0,5,4.5,2.25
"N370113413280",2015,"History","Literature","HISTORY",0,5,0,5,0,5,6,2.75
"N318113401292",2015,"Literature","Philosophy, Politics and Economics","LITERATURE",0,4.5,0,5,0,4.5,4.5,2.5
"N354113410280",2015,"Global Affairs","Arts & Humanities","HISTORY",0,4.5,0,4,0,4.5,4.5,2.25
"N339114401261",2015,"Global Affairs","Urban Studies","URBAN STUDIES",0,5,0,5,0,4.5,5,2
"N340113421280",2015,"Psychology","Philosophy, Politics and Economics","PSYCHOLOGY",0,4,0,5.5,0,4.5,4,2.25
"N346113408280",2015,"Global Affairs","Philosophy, Politics and Economics","ANTHROPOLOGY",0,3.5,0,4,0,4.5,3,1.75
"N344114402248",2015,"Economics","Global Affairs","ANTHROPOLOGY",0,4.5,0,3.5,0,4.5,5,2
"N361114401248",2015,"Economics","Global Affairs","ECONOMICS",0,4.5,0,4,0,4.5,4,2
"N357114421248",2015,"Global Affairs","Environmental Studies","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",0,3.5,0,4.5,0,4.5,5,2
"N338114423248",2015,"Global Affairs","Economics","PHILOSOPHY, POLITICS AND ECONOMICS",0,4,0,3.5,0,4,3.5,2
"N361114412244",2015,"Literature","Economics","LITERATURE",0,5,0,4,0,5,3,1.75
"N363113410280",2015,"Arts & Humanities","Economics","URBAN STUDIES",0,5,0,3.5,0,4.5,5,2.25
"N377114424280",2015,"Literature","Arts & Humanities","GLOBAL AFFAIRS",0,4,0,4.5,0,4.5,3.5,2.25
"N311112425217",2015,"Literature","Psychology","ANTHROPOLOGY",0,5,0,4,0,4.5,4.5,2.5
"N381113421288",2015,"Environmental Studies","Psychology","ENVIRONMENTAL STUDIES",0,3.5,0,3,0,4.5,3.5,1.75
"N367113412288",2015,"Global Affairs","Psychology","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",0,3.5,0,4,0,4.5,5,2.25
"N310113421283",2015,"Global Affairs","Philosophy, Politics and Economics","ANTHROPOLOGY",0,4,0,4.5,0,4.5,4,2.25
"N339112413213",2015,"Life Sciences","Undecided","ANTHROPOLOGY",0,4.5,0,4.5,0,5.5,5.5,2.75
"N346114405244",2015,"Arts & Humanities","Philosophy, Politics and Economics","LITERATURE",0,5.5,0,5,0,5.5,4,2.5
"N364114410233",2015,"Arts & Humanities","Life Sciences","ANTHROPOLOGY",0,4.5,0,5,0,5.5,4,2.25
"N353114410244",2015,"Physical Sciences","Life Sciences","PHILOSOPHY",0,5,0,5,0,5,5,2.5
"N387113424280",2015,"Arts & Humanities","Economics","DDP LAW",0,5,0,4.5,0,5,4.5,2.75
"N365114414211",2015,"Physical Sciences","Philosophy","ENVIRONMENTAL STUDIES",0,4.5,0,4,0,4.5,4.5,2.5
"N377113425280",2015,"History","Anthropology","HISTORY",0,4,0,3.5,0,4.5,4,2
"N302114402241",2015,"Philosophy","Undecided","ENVIRONMENTAL STUDIES",0,4,0,5.5,0,4.5,4,2.25
"N363114423201",2015,"Undecided","Undecided","DDP LAW",0,4,0,4,0,4.5,3.5,2
"N324113414280",2015,"Global Affairs","Philosophy","DDP LAW",0,5.5,0,4,0,4.5,5,2.5
"N362114412234",2015,"Philosophy, Politics and Economics","Psychology","PSYCHOLOGY",0,4.5,0,5,0,4.5,4,2.5
"N355114405244",2015,"Urban Studies","Environmental Studies","URBAN STUDIES",0,4,0,4,0,4.5,4.5,2.25
